地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
山东,消防,滨州黄河河务局惠民黄河河务局,工程管理科一级主任科员及以下,1,660,659,659,105
云南,税务局,国家税务总局嵩明县税务局,一级行政执法员（六）,1,690,658,658,115
江苏,税务局,国家税务总局连云港市连云区税务局,一级行政执法员（二）,3,2108,1966,655.33,325
湖北,税务局,国家税务总局武汉市东湖生态旅游风景区税务局,一级行政执法员,1,811,655,655,230
北京,税务局,国家税务总局北京经济技术开发区税务局,一级行政执法员（八）,3,2261,1955,651.67,418
四川,税务局,国家税务总局简阳市税务局,一级行政执法员（三）,1,652,649,649,125
云南,税务局,国家税务总局嵩明县税务局,一级行政执法员（五）,1,802,646,646,81
四川,税务局,国家税务总局泸县税务局,一级行政执法员（七）,2,1393,1291,645.5,275
湖南,税务局,国家税务总局凤凰县税务局,一级行政执法员（三）,1,667,645,645,235
黑龙江,国家统计局黑龙江调查总队,国家统计局黑龙江调查总队,林甸调查队一级科员（1）,1,647,644,644,116
福建,厦门出入境边防检查总站,厦门出入境边防检查总站,高崎出入境边防检查站一级警长及以下（二）,2,1324,1286,643,407
四川,税务局,国家税务总局达州市通川区税务局,一级行政执法员（七）,1,658,642,642,230
云南,税务局,国家税务总局通海县税务局,一级行政执法员（三）,1,863,636,636,144
西藏,西藏出入境边防检查总站,西藏出入境边防检查总站,山南边境管理支队一级警长及以下（四）,1,686,636,636,354
河南,消防,焦作黄河河务局武陟第一黄河河务局,工程管理科一级主任科员及以下,1,653,634,634,175
湖南,税务局,国家税务总局株洲市石峰区税务局,一级行政执法员（三）,2,1281,1265,632.5,244
福建,税务局,国家税务总局厦门市税务局第二稽查局,一级主任科员及以下（五）,2,1335,1261,630.5,243
云南,税务局,国家税务总局威信县税务局,一级行政执法员（二）,1,987,628,628,125
贵州,税务局,国家税务总局惠水县税务局,一级行政执法员（三）,4,2513,2510,627.5,180
贵州,税务局,国家税务总局三穗县税务局,一级行政执法员,2,1283,1253,626.5,201
北京,中央档案馆国家档案局,行政财务司,房管基建处一级主任科员及以下,1,702,625,625,203
北京,民政部,社会救助司,综合处一级主任科员及以下,1,635,623,623,226
贵州,税务局,国家税务总局黎平县税务局,一级行政执法员（二）,1,627,622,622,123
山东,消防,聊城黄河河务局东阿黄河河务局,工程管理科一级主任科员及以下,1,622,621,621,180
贵州,税务局,国家税务总局贵州百里杜鹃管理区税务局,一级行政执法员（二）,2,1321,1234,617,143
江西,税务局,国家税务总局南昌市青云谱区税务局,一级行政执法员（二）,2,1251,1234,617,151
贵州,税务局,国家税务总局赤水市税务局,一级行政执法员（一）,3,1858,1841,613.67,195
安徽,海事局,芜湖海事局,芜湖海事局一级行政执法员（六）,1,639,612,612,145
新疆,中国民用航空局新疆管理局,民航新疆管理局,运输管理处一级主任科员及以下,1,660,611,611,246
天津,税务局,国家税务总局天津市静海区税务局,一级行政执法员（四）,1,741,606,606,247
宁夏,税务局,国家税务总局青铜峡市税务局,一级行政执法员（三）,2,1241,1210,605,90
河南,税务局,国家税务总局平顶山市石龙区税务局,一级行政执法员（三）,1,616,599,599,105
