地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
北京,税务局,国家税务总局北京经济技术开发区税务局,一级行政执法员（二）,5,157,135,27,347
北京,税务局,国家税务总局北京经济技术开发区税务局,一级行政执法员（六）,5,271,261,52.2,205
天津,税务局,国家税务总局天津市和平区税务局,一级行政执法员（二）,5,220,186,37.2,495
天津,税务局,国家税务总局天津市和平区税务局,一级行政执法员（三）,5,495,462,92.4,334
天津,税务局,国家税务总局天津市南开区税务局,一级行政执法员（二）,5,200,133,26.6,239
天津,税务局,国家税务总局天津市红桥区税务局,一级行政执法员（二）,5,190,167,33.4,195
天津,税务局,国家税务总局天津市武清区税务局,一级行政执法员（二）,5,1567,1387,277.4,447
辽宁,税务局,国家税务总局沈阳市和平区税务局,一级行政执法员（三）,5,73,68,13.6,263
辽宁,税务局,国家税务总局沈阳市皇姑区税务局,一级行政执法员（一）,5,53,50,10,236
辽宁,税务局,国家税务总局开原市税务局,一级行政执法员（一）,5,40,40,8,87
辽宁,税务局,国家税务总局瓦房店市税务局,一级行政执法员（一）,5,34,34,6.8,111
上海,税务局,国家税务总局上海市黄浦区税务局,一级行政执法员（一）,5,52,52,10.4,251
上海,税务局,国家税务总局上海市黄浦区税务局,一级行政执法员（三）,5,59,59,11.8,284
上海,税务局,国家税务总局上海市静安区税务局,一级行政执法员（二）,5,105,104,20.8,191
上海,税务局,国家税务总局上海市静安区税务局,一级行政执法员（九）,5,128,128,25.6,292
上海,税务局,国家税务总局上海市静安区税务局,一级行政执法员（十）,5,116,116,23.2,250
上海,税务局,国家税务总局上海市金山区税务局,一级行政执法员（一）,5,43,42,8.4,138
上海,税务局,国家税务总局上海市青浦区税务局,一级行政执法员（二）,5,90,90,18,103
上海,税务局,国家税务总局上海市崇明区税务局,一级行政执法员（二）,5,90,89,17.8,133
上海,税务局,国家税务总局上海市崇明区税务局,一级行政执法员（六）,5,118,118,23.6,203
江苏,税务局,国家税务总局常州市金坛区税务局,一级行政执法员（二）,5,1251,1084,216.8,213
浙江,税务局,国家税务总局绍兴市柯桥区税务局,一级行政执法员（二）,5,38,38,7.6,91
福建,税务局,国家税务总局福州高新技术产业开发区税务局,一级行政执法员（一）,5,87,85,17,168
山东,税务局,国家税务总局青岛市黄岛区（青岛西海岸新区）税务局,一级行政执法员（二）,5,137,135,27,175
山东,税务局,国家税务总局青岛市即墨区税务局,一级行政执法员（一）,5,53,52,10.4,124
山东,税务局,国家税务总局青岛市即墨区税务局,一级行政执法员（二）,5,93,92,18.4,98
